iter	Passed	Remaining
354	165761	1235037
355	166221	1234517
356	166642	1233715
357	167024	1232619
358	167443	1231802
359	167838	1230813
360	168283	1230197
361	168669	1229146
362	169117	1228547
363	169515	1227590
364	169902	1226554
365	170264	1225348
366	170668	1224445
367	171034	1223271
368	171419	1222237
369	171802	1221193
370	172212	1220337
371	172659	1219758
372	173069	1218911
373	173429	1217713
374	173856	1216995
375	174279	1216251
376	174671	1215289
377	175113	1214678
378	175524	1213849
379	175904	1212814
380	176255	1211584
381	176694	1210955
382	177033	1209654
383	177414	1208637
384	177834	1207891
385	178275	1207284
386	178638	1206157
387	179008	1205078
388	179366	1203925
389	179730	1202814
390	180073	1201564
391	180467	1200662
392	180826	1199529
393	181236	1198738
394	181612	1197720
395	182029	1196980
396	182377	1195792
397	182791	1195033
398	183228	1194429
399	183636	1193635
400	184089	1193138
401	184491	1192311
402	184947	1191832
403	185355	1191049
404	185766	1190278
405	186135	1189251
406	186570	1188640
407	187037	1188237
408	187417	1187279
409	187797	1186333
410	188181	1185405
411	188529	1184257
412	188965	1183663
413	189333	1182645
414	189708	1181675
415	190162	1181201
416	190593	1180584
417	190940	1179446
418	191371	1178829
419	191720	1177711
420	192150	1177093
421	192550	1176289
422	192929	1175366
423	193308	1174438
424	193700	1173597
425	194148	1173091
426	194568	1172423
427	194963	1171600
428	195349	1170728
429	195726	1169809
430	196186	1169383
431	196594	1168644
432	197023	1168034
433	197442	1167367
434	197812	1166413
435	198219	1165678
436	198575	1164645
437	198976	1163876
438	199397	1163230
439	199799	1162470
440	200239	1161933
441	200855	1162418
442	201420	1162598
443	201833	1161905
444	202271	1161357
445	202634	1160376
446	203035	1159620
447	203473	1159072
448	203876	1158328
449	204267	1157513
450	204666	1156754
451	205130	1156354
452	205522	1155555
453	205928	1154834
454	206316	1154011
455	206780	1153617
456	207392	1154045
457	208008	1154494
458	208524	1154383
459	208940	1153713
460	209307	1152779
461	209696	1151969
462	210057	1151007
463	210454	1150241
464	210886	1149673
465	211280	1148894
466	211672	1148105
467	212017	1147071
468	212718	1147953
469	213163	1147452
470	213527	1146518
471	213932	1145807
472	214345	1145137
473	214776	1144568
474	215163	1143761
475	215593	1143190
476	215959	1142275
477	216326	1141369
478	216722	1140622
479	217175	1140168
480	217582	1139481
481	217978	1138736
482	218376	1138000
483	218807	1137435
484	219218	1136772
485	219611	1136015
486	219983	1135150
487	220353	1134277
488	220750	1133545
489	221201	1133094
490	221599	1132371
491	222000	1131662
492	222368	1130784
493	222781	1130143
494	223230	1129679
495	223648	1129066
496	224043	1128332
497	224431	1127567
498	224862	1127015
499	225230	1126153
500	225574	1125171
501	225939	1124294
502	226333	1123566
503	226698	1122699
504	227071	1121866
505	227521	1121417
506	227927	1120755
507	228270	1119785
508	228677	1119127
509	229037	1118243
510	229435	1117542
511	229799	1116680
512	230214	1116067
513	230632	1115469
514	230992	1114592
515	231430	1114094
516	231813	1113330
517	232184	1112511
518	232562	1111727
519	232965	1111068
520	233322	1110183
521	233721	1109506
522	234118	1108817
523	234519	1108149
524	234903	1107400
525	235242	1106444
526	235633	1105732
527	236032	1105060
528	236376	1104134
529	236717	1103192
530	237079	1102354
531	237479	1101688
532	237865	1100965
533	238306	1100493
534	238715	1099878
535	239088	1099091
536	239480	1098398
537	239872	1097706
538	240306	1097206
539	240700	1096525
540	241120	1095960
541	241451	1094996
542	241846	1094321
543	242234	1093618
544	242668	1093119
545	243083	1092540
546	243409	1091559
547	243873	1091202
548	244228	1090351
549	244563	1089417
550	244940	1088673
551	245296	1087838
552	245639	1086941
553	246018	1086213
554	246358	1085309
555	246751	1084642
556	247141	1083960
557	247493	1083117
558	247899	1082511
559	248274	1081768
560	248606	1080840
561	248972	1080061
562	249359	1079378
563	249717	1078568
564	250085	1077800
565	250442	1076993
566	250765	1076034
567	251194	1075534
568	251599	1074935
569	251939	1074058
570	252497	1074107
571	252860	1073329
572	253276	1072780
573	253650	1072048
574	253976	1071119
575	254375	1070498
576	254693	1069537
577	255080	1068867
578	255456	1068152
579	255880	1067637
580	256213	1066747
581	256597	1066070
582	256930	1065181
583	257283	1064379
584	257662	1063681
585	258026	1062926
586	258404	1062230
587	258764	1061463
588	259161	1060844
589	259573	1060291
590	259975	1059695
591	260312	1058840
592	260694	1058165
593	261076	1057490
594	261477	1056894
595	261927	1056498
596	262289	1055749
597	262638	1054945
598	263059	1054434
599	263465	1053861
600	263841	1053170
601	264247	1052602
602	264631	1051943
603	265035	1051367
604	265514	1051085
605	266088	1051181
606	266447	1050427
607	266839	1049803
608	267252	1049261
609	267692	1048828
